Seg	timestamp	Acq. time, min	Polarity	Detector	Range
0.56	0	0.05-0.55	Neg	LTQ	100-2000
0.7	0.56	0.75-1.25	Neg	FT	100-2000
0.55	1.26	1.3-1.8	Neg	FT	500-1000
0.55	1.81	1.85-2.35	Neg	LTQ	500-1000
0.6	2.36	2.45-2.95	Pos	LTQ	100-2000
0.7	2.96	3.15-3.65	Pos	FT	100-2000
0.55	3.66	3.7-4.2	Pos	FT	500-1000
0.55	4.21	4.25-4.75	Pos	LTQ	500-1000
0.6	4.76	4.85-5.35	Neg	LTQ	100-2000
0.7	5.36	5.55-6.05	Neg	FT	100-2000
0.55	6.06	6.1-6.6	Neg	FT	500-1000
0.55	6.61	6.65-7.15	Neg	LTQ	500-1000
0.6	7.16	7.25-7.75	Pos	LTQ	100-2000
0.7	7.76	7.95-8.45	Pos	FT	100-2000
0.55	8.46	8.5-9.0	Pos	FT	500-1000
0.7	9.01	9.05-9.55	Pos	LTQ	500-1000
	9.71		Neg	LTQ	500-1000
